Решение о выпуске;Условия выпуска ценных бумаг
Обыкновенные акции;обыкновенная
"Закрытый кредитный паевой инвестиционный фонд ""Технологии инвестиций""";"Закрытый паевой инвестиционный фонд долгосрочных прямых инвестиций ""Алгоритм"""
